timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685389691978,2,Home-0,302,Found,Thread Group 1-17,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1685389691980,1,Home-1,200,OK,Thread Group 1-17,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389692013,5,Main Catalog,200,OK,Thread Group 1-13,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685389692039,5,Sign Out,200,OK,Thread Group 1-21,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685389692039,3,Sign Out-0,302,Found,Thread Group 1-21,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685389692042,2,Sign Out-1,200,OK,Thread Group 1-21,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389692061,1,Main Catalog,200,OK,Thread Group 1-12,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389692167,3,Dogs,200,OK,Thread Group 1-25,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,3,0,0
1685389692249,1,Home,200,OK,Thread Group 1-18,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389692249,0,Home-0,302,Found,Thread Group 1-18,,true,,146,195,25,25,http://localhost:8080/jpetstore,0,0,0
1685389692250,0,Home-1,200,OK,Thread Group 1-18,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389692415,5,Sign Out,200,OK,Thread Group 1-22,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685389692415,4,Sign Out-0,302,Found,Thread Group 1-22,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1685389692419,1,Sign Out-1,200,OK,Thread Group 1-22,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389692503,9,Login,200,OK,Thread Group 1-1,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685389692503,4,Login-0,302,Found,Thread Group 1-1,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1685389692507,5,Login-1,200,OK,Thread Group 1-1,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1685389692683,4,Login,200,OK,Thread Group 1-2,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389692683,2,Login-0,302,Found,Thread Group 1-2,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389692685,2,Login-1,200,OK,Thread Group 1-2,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389692806,5,Home,200,OK,Thread Group 1-19,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1685389692806,2,Home-0,302,Found,Thread Group 1-19,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1685389692808,3,Home-1,200,OK,Thread Group 1-19,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
